wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0% 0/276 [00:00<?, ?it/s]Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.3921, 'grad_norm': 0.708127498626709, 'learning_rate': 2.070636822698877e-05, 'epoch': 1.43}
{'loss': 0.4976, 'grad_norm': 0.6813740134239197, 'learning_rate': 2.0229859118526244e-05, 'epoch': 1.43}
{'loss': 0.5368, 'grad_norm': 0.7787743210792542, 'learning_rate': 1.9757502535618137e-05, 'epoch': 1.44}
{'loss': 0.4681, 'grad_norm': 0.7207423448562622, 'learning_rate': 1.928936436551661e-05, 'epoch': 1.45}
{'loss': 0.4671, 'grad_norm': 0.760278046131134, 'learning_rate': 1.8825509907063327e-05, 'epoch': 1.46}
{'loss': 0.5156, 'grad_norm': 0.8051113486289978, 'learning_rate': 1.8366003861580967e-05, 'epoch': 1.46}
{'loss': 0.3639, 'grad_norm': 0.6711614727973938, 'learning_rate': 1.7910910323848433e-05, 'epoch': 1.47}
{'loss': 0.4041, 'grad_norm': 0.6981502771377563, 'learning_rate': 1.7460292773160315e-05, 'epoch': 1.48}
{'loss': 0.4891, 'grad_norm': 0.7071587443351746, 'learning_rate': 1.7014214064472643e-05, 'epoch': 1.49}
{'loss': 0.535, 'grad_norm': 0.7728657722473145, 'learning_rate': 1.6572736419635287e-05, 'epoch': 1.49}
{'loss': 0.2994, 'grad_norm': 0.706490159034729, 'learning_rate': 1.6135921418712956e-05, 'epoch': 1.5}
{'loss': 0.5306, 'grad_norm': 0.7173449397087097, 'learning_rate': 1.57038299913956e-05, 'epoch': 1.51}
{'loss': 0.3191, 'grad_norm': 0.6697502732276917, 'learning_rate': 1.5276522408499567e-05, 'epoch': 1.51}
{'loss': 0.5022, 'grad_norm': 0.7395153641700745, 'learning_rate': 1.4854058273560667e-05, 'epoch': 1.52}
{'loss': 0.641, 'grad_norm': 0.7981767058372498, 'learning_rate': 1.4436496514520254e-05, 'epoch': 1.53}
{'loss': 0.5063, 'grad_norm': 0.7160761952400208, 'learning_rate': 1.4023895375505609e-05, 'epoch': 1.54}
{'loss': 0.5393, 'grad_norm': 0.7988115549087524, 'learning_rate': 1.3616312408705689e-05, 'epoch': 1.54}
{'loss': 0.5019, 'grad_norm': 0.7486487030982971, 'learning_rate': 1.3213804466343421e-05, 'epoch': 1.55}
{'loss': 0.5004, 'grad_norm': 0.700713574886322, 'learning_rate': 1.281642769274552e-05, 'epoch': 1.56}
{'loss': 0.557, 'grad_norm': 1.2889653444290161, 'learning_rate': 1.242423751651119e-05, 'epoch': 1.57}
{'loss': 0.5287, 'grad_norm': 0.7278012037277222, 'learning_rate': 1.2037288642780576e-05, 'epoch': 1.57}
{'loss': 0.472, 'grad_norm': 0.7807766795158386, 'learning_rate': 1.165563504560413e-05, 'epoch': 1.58}
{'loss': 0.3331, 'grad_norm': 0.6632097959518433, 'learning_rate': 1.1279329960414048e-05, 'epoch': 1.59}
{'loss': 0.5649, 'grad_norm': 0.7889971137046814, 'learning_rate': 1.090842587659851e-05, 'epoch': 1.59}
{'loss': 0.5213, 'grad_norm': 0.8092939257621765, 'learning_rate': 1.0542974530180327e-05, 'epoch': 1.6}
{'loss': 0.3832, 'grad_norm': 0.7276260852813721, 'learning_rate': 1.0183026896600284e-05, 'epoch': 1.61}
{'loss': 0.404, 'grad_norm': 0.7504478693008423, 'learning_rate': 9.82863318360695e-06, 'epoch': 1.62}
